State,County,income_1989,income_2010,income_2023,income_1989_real_2023,income_2010_real_2023,income_2023.1,pct_highschool_or_more (1990),pct_highschool_or_more (2010),pct_highschool_or_more_(2023),Established firms 1989,Established firms 2010,Established firms 2022,Pop 1890,Pop 1990,Pop 2010,Pop 2023,churches_1890,churches_1990,churches_2010,churches_2020,church_density_1890,church_density_1990,church_density_2010,church_density_2020,church_persistence_index,Church_persistence_index_3yr,Index_v2,z1890,z1990,index_1890_1990_raw,index_1890_1990
GA,PIERCE,20499,37062,56691,50123,51523,56691,60.0,77.4,86.7,29.0,32,28,6379.0,13328,18758,20425,23.0,36,41,38,3.61,2.7,2.19,1.86,-0.0538153226337119,-0.0994217257333506,-0.0888930226650566,0.2857142857142850,0.6352941176470590,0.4605042016806720,0.18891883729877500
GA,PIKE,27733,53213,84184,67812,73976,84184,64.9,83.0,90.0,26.0,21,43,16300.0,10224,17869,20461,65.0,31,37,39,3.99,3.03,2.07,1.91,-0.0538153226337119,-0.03835888125052,0.0208275989075228,0.7380952380952380,1.0235294117647100,0.8808123249299720,0.5056042603497770
GA,POLK,22326,38646,55308,54591,53725,55308,51.8,71.6,82.1,59.0,54,68,14945.0,33815,41475,44223,55.0,63,78,78,3.68,1.86,1.88,1.76,-0.292484833983413,-0.397593324429471,-0.3663624275557280,0.36904761904761900,-0.35294117647058800,0.008053221288515340,-0.15198494782827100
GA,PULASKI,21376,36262,47688,52268,50411,47688,60.6,77.2,80.1,22.0,15,10,16559.0,8108,12010,10095,54.0,17,21,22,3.26,2.1,1.75,2.18,-0.292484833983413,-0.283383933095272,-0.3105475588496460,-0.1309523809523810,-0.0705882352941177,-0.10077030812324900,-0.23397914100075700
GA,PUTNAM,24325,41529,64163,59479,57733,64163,61.8,80.4,87.9,35.0,38,58,14842.0,14137,21218,23129,42.0,22,41,40,2.83,1.56,1.93,1.73,-0.292484833983413,-0.464129403119436,-0.5468080928175960,-0.6428571428571430,-0.7058823529411770,-0.6743697478991600,-0.6661634629285750
GA,QUITMAN,15972,28912,36838,39054,40193,36838,49.5,66.5,82.2,5.0,3,DNE,4471.0,2209,2513,2280,12.0,5,11,9,2.68,2.26,4.38,3.95,0.604629227578143,0.759071830927144,0.6580502327987610,-0.8214285714285710,0.11764705882352900,-0.3518907563025210,-0.4231883924270970
GA,RABUN,21177,34406,61466,51781,47831,61466,62.7,80.5,90.1,55.0,45,60,5606.0,11648,16276,17442,29.0,41,49,48,5.17,3.52,3.01,2.75,0.633411219496767,0.481883490693124,0.7023109905671030,2.142857142857140,1.6000000000000000,1.8714285714285700,1.251994129473320
GA,RANDOLPH,13972,26194,25425,34164,36415,25425,49.3,70.4,83.4,11.0,16,8,15267.0,8023,7719,6078,65.0,26,31,24,4.26,3.24,4.02,3.95,0.843298738927843,0.908528704626221,1.0135250762344600,1.0595238095238100,1.2705882352941200,1.1650560224089600,0.7197705602771390
GA,RICHMOND,25265,37882,53197,61777,52663,53197,70.9,82.3,87.8,461.0,304,362,45194.0,189719,200549,205414,101.0,166,248,247,2.23,0.87,1.24,1.2,-0.979711376113891,-0.907568722753688,-1.066732197823940,-1.3571428571428600,-1.5176470588235300,-1.437394957983190,-1.2410725548252300
GA,ROCKDALE,39389,55779,72349,96312,77543,72349,77.7,84.8,90.0,204.0,169,267,6813.0,54091,85215,95987,30.0,38,98,101,4.4,0.7,1.15,1.05,-0.979711376113891,-1.00158275608756,-0.8589248878919150,1.226190476190480,-1.7176470588235300,-0.2457282913165270,-0.3431992052652650
GA,SCHLEY,21417,35096,59647,52368,48790,59647,56.4,71.4,84.8,6.0,4,6,5443.0,3588,5010,4526,20.0,8,11,13,3.67,2.23,2.2,2.87,-0.0834741879621345,0.0005640391098585,0.0324833329573143,0.3571428571428570,0.08235294117647040,0.21974789915966400,0.007518556650765940
GA,SCREVEN,20531,32155,53017,50202,44701,53017,58.9,74.7,84.6,18.0,14,25,14424.0,13842,14593,14174,74.0,56,65,60,5.13,4.05,4.45,4.23,1.08196825027754,1.26599323800744,1.4818886848565400,2.095238095238090,2.223529411764710,2.159383753501400,1.4689568851523800
GA,SEMINOLE,18438,32666,49559,45084,45412,49559,52.7,77.0,89.3,20.0,7,18,,9010,8729,9092,,24,32,28,DNE,2.66,3.67,3.08,0.634288092906565,0.502617473260043,0.621899922958814,,0.588235294117647,0.588235294117647,0.28515912581010900
GA,SPALDING,25634,41100,60217,62679,57137,60217,60.0,74.8,85.4,142.0,104,131,13117.0,54457,64073,69946,36.0,79,112,120,2.74,1.45,1.75,1.72,-0.531154345333114,-0.536150626247091,-0.6296528313377720,-0.7500000000000000,-0.835294117647059,-0.7926470588235290,-0.7552807037704850
GA,STEPHENS,22204,34938,52264,54292,48570,52264,60.1,74.8,83.8,66.0,46,49,,23257,26175,27228,,47,54,49,DNE,2.02,2.06,1.8,-0.292484833983413,-0.307252839928618,-0.3467551311393730,,-0.1647058823529410,-0.1647058823529410,-0.2821520485724940
GA,STEWART,15606,30954,35000,38159,43032,35000,51.4,70.4,72.9,17.0,DNE,3,15682.0,5654,6058,4674,51.0,17,21,21,3.25,3.01,3.47,4.49,0.603752354168344,0.833181938110215,0.8057493609827880,-0.14285714285714300,0.9999999999999990,0.42857142857142800,0.16485876517094100
GA,SUMTER,20957,32430,41877,51243,45084,41877,62.8,75.4,84.3,89.0,40,51,22107.0,30228,32819,28890,75.0,49,62,64,3.39,1.62,1.89,2.22,-0.292484833983413,-0.356996259649029,-0.3596139748214190,0.023809523809523800,-0.6352941176470590,-0.3057422969187680,-0.3884173671370920
GA,TALBOT,20489,33873,45098,50099,47090,45098,56.2,78.7,82.9,8.0,7,11,13258.0,6524,6865,5718,50.0,23,21,19,3.77,3.53,3.06,3.32,0.633411219496767,0.615371779006968,0.6456012597333420,0.4761904761904760,1.6117647058823500,1.043977591036410,0.6285427867924360
GA,TALIAFERRO,14700,22188,48036,35944,30845,48036,48.6,58.4,83.5,,3,DNE,7291.0,1915,1717,1609,17.0,14,13,9,2.33,7.31,7.57,5.59,3.1741836154072,3.08843442728074,2.43267571445135,-1.2380952380952400,3.5,1.1309523809523800,0.6940748253511410
GA,TATTNALL,20293,38522,52351,49620,53553,52351,57.4,74.0,80.8,33.0,27,31,10253.0,17722,25520,24296,55.0,54,56,54,5.36,3.05,2.19,2.22,-0.0538153226337119,0.0601337366652632,0.3106535165505150,2.3690476190476200,1.0470588235294100,1.7080532212885200,1.1288973130824500
GA,TAYLOR,16210,25237,41743,39636,35084,41743,51.2,63.5,77.7,11.0,4,11,8666.0,7642,8906,7758,49.0,27,29,25,5.65,3.53,3.26,3.22,0.633411219496767,0.642726784201495,0.9323156264488540,2.7142857142857100,1.6117647058823500,2.163025210084030,1.4717005775880100
GA,TELFAIR,16573,23876,44948,40524,33192,44948,52.1,68.9,78.5,21.0,13,19,5477.0,11000,16500,10920,49.0,41,61,49,8.95,3.73,3.7,4.49,1.08196825027754,1.06224662056976,1.6449280894403600,3.5,1.8470588235294100,2.6735294117647100,1.8563451517369300
GA,TERRELL,18036,27909,43812,44101,38799,43812,52.4,65.8,77.8,21.0,15,6,14503.0,10653,9315,8718,51.0,25,34,32,3.52,2.35,3.65,3.67,0.604629227578143,0.546246583655075,0.5593427661430450,0.1785714285714280,0.2235294117647060,0.20105042016806700,-0.006569248739873350
GA,THOMAS,20901,35797,60140,51106,49765,60140,63.3,81.4,88.0,135.0,79,101,26154.0,38986,44720,45649,92.0,82,109,113,3.52,2.1,2.44,2.48,-0.292484833983413,-0.0543304441933924,-0.0443464237202553,0.1785714285714280,-0.0705882352941177,0.05399159663865540,-0.11737221248647500
GA,TIFT,22421,36847,53165,54823,51224,53165,61.3,75.9,85.7,112.0,78,85,,34998,40118,41554,,54,77,75,DNE,1.54,1.92,1.8,-0.292484833983413,-0.456746933098181,-0.5180594832884760,,-0.7294117647058820,-0.7294117647058820,-0.707635429359446
GA,TOOMBS,19473,31635,54130,47615,43979,54130,59.0,80.1,83.9,89.0,49,67,,24072,27223,27040,,56,81,81,DNE,2.33,2.98,3.0,0.156072196797365,0.23993702265933,0.3126391396116720,,0.2000000000000000,0.2000000000000000,-0.0073606984809205
GA,TOWNS,19356,39540,58400,47329,54968,58400,58.2,86.5,93.0,20.0,30,33,4064.0,6754,10471,13035,22.0,23,25,28,5.41,3.41,2.39,2.15,-0.0538153226337119,0.180549839091902,0.4324319715354170,2.428571428571430,1.4705882352941200,1.9495798319327700,1.3108779902072300
GA,TREUTLEN,17391,36467,43750,42524,50696,43750,52.7,73.0,74.8,5.0,5,4,,5994,6885,6341,,18,18,20,DNE,3.0,2.61,3.15,0.394741708147066,0.343560921933117,0.4278489845744120,,0.9882352941176470,0.9882352941176470,0.5865431872008670
GA,TROUP,24788,41770,54905,60611,58068,54905,60.8,79.3,87.9,137.0,113,219,20723.0,55536,67044,70742,76.0,111,143,147,3.67,2.0,2.13,2.08,-0.292484833983413,-0.236727313185845,-0.206928431726154,0.3571428571428570,-0.1882352941176470,0.0844537815126048,-0.094420169996108
GA,TURNER,17766,30763,39565,43441,42766,39565,55.3,68.5,80.6,19.0,6,18,,8703,8930,8909,,26,30,28,DNE,2.99,3.36,3.14,0.394741708147066,0.519944704229213,0.638302517316885,,0.9764705882352940,0.9764705882352940,0.5776789501011390
GA,TWIGGS,19213,26521,55439,46979,36869,55439,48.4,61.4,77.8,9.0,6,6,8195.0,9806,9023,7691,29.0,16,20,24,3.54,1.63,2.22,3.12,-0.0834741879621345,-0.0870729813326795,-0.063431611557572,0.20238095238095200,-0.6235294117647060,-0.21057422969187700,-0.3167120205982200
GA,UNION,20275,41298,65697,49576,57412,65697,58.7,82.9,88.8,39.0,54,54,7749.0,11993,21356,27124,33.0,34,55,55,4.26,2.83,2.58,2.03,0.185731062125787,0.0614774246972677,0.1609022793254400,1.0595238095238100,0.7882352941176470,0.9238795518207280,0.5380536997327110
GA,UPSON,22747,34509,50904,55620,47974,50904,54.6,76.1,85.5,54.0,26,47,12188.0,26300,27153,28263,47.0,48,60,64,3.86,1.83,2.21,2.26,-0.292484833983413,-0.220835841395815,-0.1613383718742220,0.5833333333333330,-0.3882352941176470,0.0975490196078428,-0.0845534298910535
GA,WALKER,24068,38723,55887,58850,53832,55887,58.3,76.2,85.3,87.0,54,84,13282.0,58340,68756,69489,53.0,118,133,126,3.99,2.02,1.93,1.81,-0.292484833983413,-0.336517825326675,-0.264246773905404,0.7380952380952380,-0.1647058823529410,0.2866946778711480,0.05796028681350490
GA,WALTON,28198,51721,82381,68949,71902,82381,57.9,80.4,87.3,77.0,150,201,17467.0,38586,83768,106702,73.0,55,100,106,4.18,1.43,1.19,0.99,-0.979711376113891,-0.828458955478722,-0.7265276674030430,0.9642857142857140,-0.8588235294117650,0.05273109243697430,-0.11832195217573200
GA,WARE,20426,35517,44833,49945,49375,44833,61.1,79.6,81.5,106.0,62,72,8811.0,35471,36312,36243,62.0,77,101,105,7.04,2.17,2.78,2.9,0.156072196797365,0.132244742338785,0.6310137550053590,3.5,0.01176470588235270,1.7558823529411800,1.16493465795813
GA,WARREN,17284,31043,46776,42262,43156,46776,42.8,69.6,77.8,8.0,5,6,10957.0,6078,5834,5106,47.0,15,25,26,4.29,2.47,4.29,5.09,0.813639873599421,1.02603426415605,1.1528493677096100,1.0952380952380900,0.3647058823529410,0.729971988795518,0.39195207753540600
GA,WASHINGTON,21460,31382,44009,52473,43627,44009,58.1,74.8,84.7,43.0,28,23,25237.0,19112,21187,19820,87.0,53,76,67,3.45,2.77,3.59,3.38,0.634288092906565,0.572485864606785,0.5683725003355990,0.09523809523809530,0.7176470588235290,0.40644257703081200,0.148185557292881
GA,WAYNE,23311,37340,49562,56999,51910,49562,62.9,77.9,86.3,58.0,46,58,7485.0,22356,30099,31373,49.0,56,75,79,6.55,2.5,2.49,2.52,0.155195323387566,0.0625216598402333,0.4868269061888340,3.5,0.4000000000000000,1.95,1.311194570103650
GA,WEBSTER,19028,25708,40764,46527,35739,40764,50.4,78.1,84.1,,DNE,DNE,5695.0,2263,2799,2337,32.0,12,5,8,5.62,5.3,1.79,3.42,0.632534346086968,0.756709011568956,1.0215214499150600,2.6785714285714300,3.5,3.0892857142857100,2.1696009592433900
GA,WHEELER,16585,35422,45262,40553,49243,45262,56.7,69.7,76.7,5.0,5,DNE,,4903,7421,7081,,21,17,21,DNE,4.28,2.29,2.97,0.393864834737267,0.537410930594851,0.6386809746014470,,2.4941176470588200,2.4941176470588200,1.721165535966070
GA,WHITE,24234,41756,69747,59256,58049,69747,62.9,83.3,84.4,66.0,43,65,6151.0,13006,27144,29026,23.0,30,38,41,3.74,2.31,1.4,1.41,-0.74104186476419,-0.477943612511899,-0.4462058360141560,0.44047619047619000,0.176470588235294,0.3084733893557420,0.07436967811121600
GA,WHITFIELD,27797,42345,64262,67968,58868,64262,59.8,67.4,75.4,261.0,131,206,12916.0,72462,102599,103687,67.0,99,139,137,5.19,1.37,1.35,1.32,-0.979711376113891,-0.735431383486566,-0.4908476826657870,2.166666666666670,-0.9294117647058820,0.618627450980392,0.30805840498440700
GA,WILCOX,16333,30784,48036,39937,42796,48036,52.8,73.0,78.9,5.0,5,8,7980.0,7008,9255,8779,31.0,35,34,33,3.88,4.99,3.67,3.76,1.32063776162725,1.20637362431437,1.2343913417247800,0.6071428571428570,3.329411764705880,1.9682773109243700,1.3249657955978700
GA,WILKES,18629,28022,52542,45551,38956,52542,56.6,71.8,82.0,28.0,15,12,18081.0,10597,10593,9518,57.0,31,37,39,3.15,2.93,3.49,4.1,0.603752354168344,0.737283619865707,0.6944404265397220,-0.26190476190476200,0.9058823529411760,0.32198879551820700,0.08455299811268940
GA,WILKINSON,25166,37902,46673,61535,52691,46673,62.0,79.2,89.6,19.0,8,11,10781.0,10228,9563,8725,49.0,32,32,34,4.55,3.13,3.35,3.9,0.603752354168344,0.709978516478151,0.8571044567964260,1.404761904761900,1.1411764705882300,1.2729691876750700,0.801078830340716
GA,WORTH,21312,38670,57201,52111,53759,57201,58.1,73.6,86.5,28.0,22,33,10048.0,19745,21679,20273,58.0,48,51,50,5.77,2.43,2.35,2.47,-0.292484833983413,0.0014394612327502,0.3185367446334920,2.8571428571428600,0.3176470588235290,1.5873949579831900,1.037986119494170
HI,HAWAII,29712,54996,77215,72651,76455,77215,77.7,90.5,93.1,408.0,323,444,,120317,185079,207615,,156,274,276,DNE,1.3,1.48,1.33,-0.979711376113891,-0.718867502459347,-0.8316117622486260,,-1.011764705882350,-1.011764705882350,-0.9203771197529220
HI,HONOLULU,40581,70093,104264,99227,97442,104264,81.2,89.9,92.9,2316.0,1546,1915,,836231,953207,989408,,434,744,790,DNE,0.52,0.78,0.8,-0.979711376113891,-1.18641783611492,-1.382874525187180,,-1.9294117647058800,-1.9294117647058800,-1.6117876135317200
HI,KALAWAO,10000,41806,86250,24452,58118,86250,51.5,79.7,74.4,,DNE,DNE,,130,90,81,,2,1,3,DNE,15.38,11.11,37.04,12.2815088871429,12.4547929195745,3.4430983399285600,,3.5,3.5,2.4790578079928300
HI,KAUAI,37425,62531,93612,91510,86930,93612,73.1,88.3,92.7,193.0,176,288,,51177,67091,73851,,59,106,117,DNE,1.15,1.58,1.58,-0.531154345333114,-0.678714138737497,-0.7791853108216190,,-1.1882352941176500,-1.1882352941176500,-1.0533406762488400
HI,MAUI,38771,63989,95076,94801,88957,95076,77.0,88.7,92.8,400.0,339,624,,100374,154834,164183,,107,189,212,DNE,1.07,1.22,1.29,-0.979711376113891,-0.84537934652334,-0.9795318559735130,,-1.2823529411764700,-1.2823529411764700,-1.1242545730466700
ID,ADA,30246,55835,88907,73956,77621,88907,87.2,92.9,95.1,818.0,1234,1930,8368.0,205775,392365,524673,31.0,191,355,404,3.7,0.93,0.9,0.77,-0.979711376113891,-1.06488860095013,-1.0238026880989700,0.3928571428571430,-1.4470588235294100,-0.5271008403361340,-0.5552022092337630
ID,ADAMS,22455,36004,59286,54906,50052,59286,75.3,88.4,92.9,9.0,13,17,,3254,3976,4903,,7,7,11,DNE,2.15,1.76,2.24,-0.292484833983413,-0.256388773812228,-0.2838730097377520,,-0.011764705882353200,-0.011764705882353200,-0.1669169662760280
ID,BANNOCK,26275,44848,64080,64247,62347,64080,82.9,90.5,93.8,167.0,155,207,,66026,82839,90400,,102,162,130,DNE,1.54,1.96,1.44,-0.501495480004691,-0.522269366374716,-0.5995811270299060,,-0.7294117647058820,-0.7294117647058820,-0.707635429359446
ID,BEAR LAKE,21646,43374,67304,52928,60298,67304,79.8,90.4,93.0,14.0,8,18,6057.0,6084,5986,6766,18.0,20,22,19,2.97,3.29,3.68,2.81,0.634288092906565,0.600546804278458,0.5190501939650050,-0.4761904761904760,1.329411764705880,0.426610644257703,0.16338139232098600
ID,BENEWAH,21508,37500,56553,52591,52132,56553,74.2,87.2,84.4,20.0,13,27,,7937,9285,10369,,17,22,22,DNE,2.14,2.37,2.12,-0.292484833983413,-0.13673825449577,-0.1421216637072590,,-0.0235294117647059,-0.0235294117647059,-0.17578120337575600
ID,BINGHAM,25158,44128,76842,61515,61346,76842,76.8,84.6,89.2,50.0,62,106,13575.0,37583,45607,50395,43.0,78,101,98,3.17,2.08,2.21,1.94,-0.292484833983413,-0.227377517259991,-0.2689169192049500,-0.23809523809523800,-0.0941176470588236,-0.16610644257703100,-0.28320731489389
ID,BLAINE,31199,61854,84470,76287,85989,84470,91.7,92.0,91.2,111.0,124,187,,13552,21376,25041,,17,25,23,DNE,1.25,1.17,0.92,-0.979711376113891,-0.891297278821594,-1.0403943236553900,,-1.0705882352941200,-1.0705882352941200,-0.9646983052515630
ID,BOISE,26048,48789,77349,63692,67826,77349,80.0,87.2,95.6,12.0,15,21,3342.0,3509,7028,8517,10.0,13,12,12,2.99,3.7,1.71,1.41,-0.0241564573052892,-0.0680459526977688,-0.1592205868360940,-0.4523809523809520,1.8117647058823500,0.6796918767507000,0.3540680165972820
ID,BONNER,21465,41943,65168,52485,58309,65168,78.2,91.0,91.6,117.0,131,184,,26622,40877,52547,,35,58,55,DNE,1.31,1.42,1.05,-0.979711376113891,-0.789392284812711,-0.9184994862772250,,-1.0,-1.0,-0.9115128826531940
ID,BONNEVILLE,30462,50445,76646,74485,70128,76646,84.0,90.6,92.1,204.0,273,423,,72207,104234,131366,,114,185,195,DNE,1.58,1.77,1.48,-0.501495480004691,-0.550096745478369,-0.6329866449092290,,-0.6823529411764710,-0.6823529411764710,-0.6721784809605330
ID,BOUNDARY,21662,37712,62438,52967,52427,62438,74.6,82.9,87.2,24.0,39,42,,8332,10972,13557,,14,22,25,DNE,1.68,2.01,1.84,-0.292484833983413,-0.392934444697113,-0.4436143784142400,,-0.5647058823529410,-0.5647058823529410,-0.5835361099632520
ID,BUTTE,26292,39413,43281,64288,54791,43281,80.4,88.6,87.6,6.0,7,5,,2918,2891,2758,,6,14,11,DNE,2.06,4.84,3.99,0.844175612337642,0.830144942625943,1.0298696401332100,,-0.11764705882353000,-0.11764705882353000,-0.2466951001735810
ID,CAMAS,24440,44145,55536,59760,61370,55536,81.8,81.9,86.0,3.0,DNE,4,,727,1117,1232,,2,3,4,DNE,2.75,2.69,3.25,0.394741708147066,0.323459840531634,0.4084620035105340,,0.6941176470588230,0.6941176470588230,0.36493725970766300
ID,CANYON,22979,43218,72355,56187,60081,72355,71.0,82.0,87.7,190.0,351,800,,90076,188923,257674,,120,204,242,DNE,1.33,1.08,0.94,-0.979711376113891,-0.889538920917976,-1.039280162300120,,-0.9764705882352940,-0.9764705882352940,-0.8937844084537370
ID,CARIBOU,29979,44958,66653,73303,62500,66653,84.3,88.0,90.5,16.0,17,19,,6963,6963,7219,,18,21,20,DNE,2.59,3.02,2.77,0.394741708147066,0.264245838840481,0.335684761458957,,0.5058823529411760,0.5058823529411760,0.22310946611201200
ID,CASSIA,23381,39866,67042,57170,55421,67042,72.7,78.8,85.4,40.0,30,79,3143.0,19532,22952,25696,8.0,46,51,52,2.55,2.36,2.22,2.02,-0.292484833983413,-0.140752653452063,-0.2713697557980640,-0.9761904761904760,0.2352941176470590,-0.3704481792717090,-0.43717067118559700
ID,CLARK,24583,40909,52083,60109,56871,52083,74.7,68.9,75.7,,DNE,0,,762,982,801,,3,2,2,DNE,3.94,2.04,2.5,0.184854188715989,0.297003747301185,0.3524923248993260,,2.094117647058820,2.094117647058820,1.4197814745753100
ID,CLEARWATER,23925,41835,57961,58500,58159,57961,73.4,84.7,91.1,37.0,23,25,,8505,8761,9214,,24,24,24,DNE,2.82,2.74,2.6,0.394741708147066,0.216673143963335,0.2739852538527010,,0.7764705882352940,0.7764705882352940,0.4269869194057600
ID,CUSTER,24393,41910,56957,59645,58263,56957,81.7,92.9,93.6,12.0,15,28,2176.0,4133,4368,4523,4.0,9,15,17,1.84,2.18,3.43,3.76,0.365082842818643,0.470992535195357,0.2546624552516500,-1.8214285714285700,0.0235294117647059,-0.8989495798319330,-0.8353754175644570
ID,ELMORE,23750,43089,58976,58073,59902,58976,83.1,84.5,88.1,32.0,35,45,1870.0,21205,27038,29724,4.0,29,41,43,2.14,1.37,1.52,1.45,-0.740164991354392,-0.667286722077631,-0.8443057274517540,-1.4642857142857100,-0.9294117647058820,-1.196848739495800,-1.059830564125430
ID,FRANKLIN,25446,45682,65991,62220,63507,65991,82.2,91.7,94.0,11.0,25,37,,9232,12786,15494,,26,39,42,DNE,2.82,3.05,2.71,0.394741708147066,0.31440651993718,0.3915947232071700,,0.7764705882352940,0.7764705882352940,0.4269869194057600
ID,FREMONT,23498,42523,72767,57456,59115,72767,75.6,85.0,90.7,13.0,25,46,,10937,13242,14196,,24,33,34,DNE,2.19,2.49,2.4,-0.292484833983413,-0.0372766822476593,-0.0215940749994004,,0.03529411764705860,0.03529411764705860,-0.131460017877115
ID,GEM,21495,42794,66245,52559,59492,66245,70.1,83.5,89.0,21.0,35,62,,11844,16719,21071,,19,25,26,DNE,1.6,1.5,1.23,-0.74104186476419,-0.662593572715906,-0.7698070657238480,,-0.6588235294117650,-0.6588235294117650,-0.6544500067610770
ID,GOODING,19823,37228,62395,48470,51754,62395,72.5,76.2,79.8,25.0,30,40,,11633,15464,16061,,25,32,29,DNE,2.15,2.07,1.81,-0.292484833983413,-0.271409675868789,-0.3058073998692460,,-0.011764705882353200,-0.011764705882353200,-0.1669169662760280
ID,IDAHO,22093,34536,60975,54021,48012,60975,75.1,85.7,91.8,42.0,48,66,2955.0,13783,16267,17890,4.0,40,41,44,1.35,2.9,2.52,2.46,0.185731062125787,0.153669799311175,-0.147766800662747,-2.4047619047619000,0.8705882352941170,-0.7670868347338930,-0.7360220934050040
ID,JEFFERSON,24421,51579,82952,59713,71705,82952,77.6,85.8,93.3,28.0,35,101,,16543,26140,34198,,35,51,66,DNE,2.12,1.95,1.93,-0.292484833983413,-0.282527506760588,-0.3175096764671700,,-0.0470588235294118,-0.0470588235294118,-0.19350967757521200
ID,JEROME,21209,39188,69338,51859,54479,69338,72.4,71.6,73.4,26.0,33,64,,15138,22374,25479,,25,34,32,DNE,1.65,1.52,1.26,-0.501495480004691,-0.639450768637507,-0.7426521054565990,,-0.6000000000000000,-0.6000000000000000,-0.6101288212624360
ID,KOOTENAI,25593,46336,77034,62579,64416,77034,81.1,91.4,94.4,301.0,443,733,4108.0,69795,138494,185010,12.0,66,123,129,2.92,0.95,0.89,0.7,-0.979711376113891,-1.07709461367659,-1.144723300191880,-0.5357142857142860,-1.423529411764710,-0.979621848739496,-0.8961587576768790
ID,LATAH,22635,36974,65179,55346,51401,65179,86.6,93.5,96.9,69.0,72,120,9173.0,30617,37244,41301,26.0,44,66,50,2.83,1.44,1.77,1.21,-0.740164991354392,-0.640228261978242,-0.7245825629692180,-0.6428571428571430,-0.8470588235294120,-0.7449579831932770,-0.7193488855269440
ID,LEMHI,19697,36411,52057,48162,50618,52057,73.9,91.9,92.7,22.0,35,35,1915.0,6899,7936,8441,4.0,15,23,23,2.09,2.17,2.9,2.72,0.156072196797365,0.123601239226522,-0.0642988622467407,-1.5238095238095200,0.01176470588235270,-0.7560224089635850,-0.7276854894659740
ID,LEWIS,20926,35808,49643,51167,49780,49643,78.8,90.2,90.8,15.0,16,14,,3516,3821,3739,,19,22,14,DNE,5.4,5.76,3.74,1.79973053114624,1.80510985812719,2.14167558238372,,3.5,3.5,2.4790578079928300
ID,LINCOLN,21640,45714,66038,52913,63551,66038,79.8,76.6,82.5,4.0,8,16,,3308,5208,5450,,12,13,13,DNE,3.63,2.5,2.39,0.184854188715989,0.310234929618662,0.3717819777641030,,1.729411764705880,1.729411764705880,1.1449901244837400
ID,MADISON,23000,35461,58259,56239,49297,58259,87.6,95.2,97.0,43.0,62,140,,23674,37536,54547,,71,162,79,DNE,3.0,4.32,1.45,0.216266800864009,0.401006651650592,0.4804939671520970,,0.9882352941176470,0.9882352941176470,0.5865431872008670
ID,MINIDOKA,23327,40350,70060,57038,56094,70060,68.5,74.9,82.1,35.0,29,51,,19361,20069,22480,,36,43,39,DNE,1.86,2.14,1.73,-0.292484833983413,-0.341151395819104,-0.3855048802777090,,-0.35294117647058800,-0.35294117647058800,-0.42397984216814400
ID,NEZ PERCE,25219,44395,71466,61665,61717,71466,79.9,89.7,92.9,93.0,74,99,2847.0,33754,39265,42987,20.0,40,57,53,7.02,1.19,1.45,1.23,-0.979711376113891,-0.77350453496973,-0.273871554168047,3.5,-1.1411764705882400,1.1794117647058800,0.7305870400714500
ID,ONEIDA,22582,44599,72563,55217,62001,72563,78.7,92.3,94.2,3.0,10,7,6819.0,3492,4286,4953,20.0,9,12,13,2.93,2.58,2.8,2.62,0.394741708147066,0.177455209333856,0.0997913271141362,-0.5238095238095240,0.4941176470588230,-0.014845938375350100,-0.1692385521830990
ID,OWYHEE,18595,33441,59773,45468,46489,59773,62.0,75.1,77.7,8.0,14,31,2021.0,8392,11526,12722,2.0,20,25,20,0.99,2.38,2.17,1.57,-0.292484833983413,-0.241951354647355,-0.5917712000065940,-2.833333333333330,0.2588235294117640,-1.287254901960780,-1.1279480051715600
ID,PAYETTE,20367,43559,65723,49801,60555,65723,67.4,83.7,86.7,36.0,48,75,,16434,22623,27279,,33,40,43,DNE,2.01,1.77,1.58,-0.292484833983413,-0.425542164203684,-0.4897661486765430,,-0.17647058823529500,-0.17647058823529500,-0.29101628567222200
ID,POWER,24771,40843,59760,60569,56779,59760,72.1,82.1,88.0,11.0,19,18,,7086,7817,8253,,14,21,17,DNE,1.98,2.69,2.06,-0.0529384492239134,-0.110666255738097,-0.1092416918042790,,-0.2117647058823530,-0.2117647058823530,-0.3176089969714070
ID,SHOSHONE,20980,36654,49975,51299,50956,49975,70.1,82.1,88.8,39.0,26,33,5382.0,13931,12765,14026,8.0,26,28,24,1.49,1.87,2.19,1.71,-0.292484833983413,-0.330857596464407,-0.6036820886924750,-2.2380952380952400,-0.3411764705882350,-1.2896358543417400,-1.12974195791793
ID,TETON,22799,53364,90740,55747,74186,90740,80.2,89.0,92.6,15.0,46,66,,3439,10170,12549,,8,14,15,DNE,2.33,1.38,1.2,-0.74104186476419,-0.521793987191431,-0.6128108953100720,,0.2000000000000000,0.2000000000000000,-0.0073606984809205
ID,TWIN FALLS,23520,42455,65338,57510,59020,65338,75.4,83.3,88.7,169.0,197,267,,53580,77230,95156,,83,128,131,DNE,1.55,1.66,1.38,-0.501495480004691,-0.604739733104029,-0.6986632245409830,,-0.7176470588235290,-0.7176470588235290,-0.6987711922597180
ID,VALLEY,24232,50851,76125,59251,70692,76125,83.8,93.3,91.0,42.0,76,85,,6109,9862,12644,,18,21,22,DNE,2.95,2.13,1.74,-0.0538153226337119,-0.0786731859981636,-0.0882554140784751,,0.9294117647058820,0.9294117647058820,0.5422220017022260
